DTC,DTD,Time,Val,Unit,Year
HQ0,MANUAL-Observed Discharge,2019-12-31 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2020-08-01 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-02 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-03 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-04 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-05 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-06 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-07 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-08 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-09 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-10 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-11 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-12 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-13 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-14 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-15 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-16 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-17 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-18 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-19 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-20 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-21 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-22 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-23 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-24 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-25 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-26 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-27 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-28 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-29 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-30 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-31 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-01 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-02 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-03 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-04 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-05 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-06 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-07 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-08 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-09 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-10 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-11 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-12 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-13 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-14 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-15 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-16 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-17 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-18 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-19 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-20 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-21 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-22 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-23 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-24 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-25 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-26 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-27 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-28 08:00:00,11.23,m3/sec,2020
